plot_code,sub_plot,tree_tag,year,month,day,dend_pom_height_m,dendrometer_reading_mm,dendrometer_reading_replaced_mm,comments,status_code_aintact_bmoved_cbroken,mortality_aalive_ddead
PAN-02,24,54,2013,6,21,1.5,1.04,,,,
PAN-02,24,56,2013,6,21,1.5,-0.96,,,,
PAN-02,24,57,2013,6,21,2,0,,,,
PAN-02,24,62,2013,6,21,1.45,0,,,,
PAN-02,25,59,2013,6,21,1.45,NA,,,,
PAN-02,25,60,2013,6,21,1.5,-0.52,,,,
PAN-02,25,61,2013,6,21,1.45,NA,,,,
PAN-02,25,63,2013,6,21,1.8,0,,,,
PAN-02,25,66,2013,6,21,1.7,0.58,,,,
PAN-02,25,67,2013,6,21,1.6,0,,,,
PAN-02,25,71,2013,6,21,1.5,0,,,,
PAN-02,25,72,2013,6,21,1.45,0.34,,,,
PAN-02,25,73,2013,6,21,1.45,NA,,,,
PAN-02,25,75,2013,6,21,1.45,-0.32,,,,
PAN-02,25,76,2013,6,21,1.8,-0.42,,,,
PAN-02,25,77,2013,6,21,1.45,NA,,,,
PAN-02,25,79,2013,6,21,1.8,NA,,,,
PAN-02,25,80,2013,6,21,1.7,0.46,,,,
PAN-02,25,81,2013,6,21,1.7,NA,,,,
PAN-02,25,83,2013,6,21,1.7,-0.36,,,,
PAN-02,1,478,2013,9,20,1.85,0,,,,
PAN-02,1,479,2013,9,20,1.75,3.58,,,,
PAN-02,1,480,2013,9,20,1.65,NA,,,,
PAN-02,1,482,2013,9,20,1.65,NA,,,,
PAN-02,1,483,2013,9,20,1.2,NA,,,,
PAN-02,1,484,2013,9,20,1.3,NA,,,,
PAN-02,1,486,2013,9,20,1.35,2.5,,,,
PAN-02,1,488,2013,9,20,1.4,3.48,,,,
PAN-02,1,490,2013,9,20,1.3,NA,,,,
PAN-02,1,491,2013,9,20,1.4,0,,,,
PAN-02,1,492,2013,9,20,1.7,NA,,,,
PAN-02,1,493,2013,9,20,1.4,0,,,,
PAN-02,1,495,2013,9,20,1.4,NA,,,,
PAN-02,1,496,2013,9,20,1.4,-0.01,,,,
PAN-02,1,499,2013,9,20,1.5,0,,,,
PAN-02,1,500,2013,9,20,1.8,NA,,,,
PAN-02,1,501,2013,9,20,1.45,NA,,,,
PAN-02,1,503,2013,9,20,1.6,NA,,,,
PAN-02,1,504,2013,9,20,1.65,NA,,,,
PAN-02,1,504-2A,2013,9,20,1.36,3.1,,,,
PAN-02,1,505,2013,9,20,1.4,-0.38,,,,
PAN-02,1,506,2013,9,20,1.6,NA,,,,
PAN-02,2,507,2013,9,20,1.65,NA,,,,
PAN-02,2,509,2013,9,20,1.5,0,,,,
PAN-02,2,511,2013,9,20,1.8,NA,,,,
PAN-02,2,512,2013,9,20,1.5,0.5,,,,
PAN-02,2,512.A,2013,9,20,1.8,NA,,,,
PAN-02,2,515,2013,9,20,1.6,NA,,,,
PAN-02,2,516,2013,9,20,1.65,0.8,,,,
PAN-02,2,518,2013,9,20,1.8,4.66,,,,
PAN-02,2,520,2013,9,20,1.55,5.2,,,,
PAN-02,2,521.2.A,2013,9,20,1.4,NA,,,,
PAN-02,2,522,2013,9,20,1.4,-1.7,,,,
PAN-02,2,523,2013,9,20,1.6,NA,,,,
PAN-02,2,525,2013,9,20,1.6,-1.26,,,,
PAN-02,2,526,2013,9,20,1.45,NA,,,,
PAN-02,2,528,2013,9,20,1.6,0,,,,
PAN-02,2,530,2013,9,20,1.6,0,,s/p  3,,
PAN-02,2,531,2013,9,20,1.6,1.95,,,,
PAN-02,2,533,2013,9,20,1.6,NA,,,,
PAN-02,3,534,2013,9,20,1.4,NA,,lost,,
PAN-02,3,535.2.A,2013,9,20,1.3,NA,,,,
PAN-02,3,536,2013,9,20,1.6,0,,,,
PAN-02,3,539,2013,9,20,1.5,0,,,,
PAN-02,3,540,2013,9,20,1.8,NA,,,,
PAN-02,3,542,2013,9,20,1.6,4.15,,,,
PAN-02,3,543,2013,9,20,1.55,2.9,,,,
PAN-02,3,544,2013,9,20,1.65,NA,,,,
PAN-02,3,546-A,2013,9,20,1.35,0,,,,
PAN-02,3,546.2.A,2013,9,20,1.35,NA,,,,
PAN-02,3,552,2013,9,20,1.6,0.45,,,,
PAN-02,3,554,2013,9,20,1.2,0.4,,,,
PAN-02,3,556,2013,9,20,1.7,NA,,,,
PAN-02,3,557,2013,9,20,1.8,0,,s/p 4,,
PAN-02,4,560,2013,9,20,1.4,NA,,,,
PAN-02,4,561,2013,9,20,1.5,0,,.,,
PAN-02,4,562,2013,9,20,1.48,NA,,,,
PAN-02,4,564,2013,9,20,1.5,1.71,,,,
PAN-02,4,566.2.A,2013,9,20,1.65,NA,,,,
PAN-02,4,567-A,2013,9,20,1.5,0,,,,
PAN-02,4,567.2.A,2013,9,20,1.65,NA,,,,
PAN-02,4,568,2013,9,20,1.5,0,,,,
PAN-02,4,569,2013,9,20,1.4,2.33,,,,
PAN-02,4,571,2013,9,20,2,3.55,,,,
PAN-02,4,572,2013,9,20,1.25,2,,,,
PAN-02,4,574,2013,9,20,1.6,NA,,,,
PAN-02,4,575,2013,9,20,1.6,-0.6,,dendro roto,,
PAN-02,4,579,2013,9,20,1.6,NA,,,,
PAN-02,4,580,2013,9,20,1.7,NA,,,,
PAN-02,4,582,2013,9,20,1.5,0.7,,,,
PAN-02,4,584,2013,9,20,1.6,NA,,,,
