Plot	Date.value	DataType	Core	Combined.code	Combined.code.2	Search.time.cum	CoarseRoot.cum	FineRoot.cum	TotRoot.cum	Search.Int	DaysBetween
BSouth	40805	Stock	6	40805.BSouth.06	BSouth.40805.6	20	2.42	0.87	3.29	2	1
BSouth	40805	Stock	6	40805.BSouth.06	BSouth.40805.6	30	2.89	1.24	4.13	3	1
BSouth	40805	Stock	6	40805.BSouth.06	BSouth.40805.6	40	6.22	1.75	7.97	4	1
BSouth	40805	Stock	7	40805.BSouth.07	BSouth.40805.7	10	0.83	1.02	1.85	1	1
BSouth	40805	Stock	7	40805.BSouth.07	BSouth.40805.7	20	0.93	1.1	2.03	2	1
BSouth	40805	Stock	7	40805.BSouth.07	BSouth.40805.7	30	0.93	1.22	2.15	3	1
BSouth	40805	Stock	7	40805.BSouth.07	BSouth.40805.7	40	0.93	1.33	2.26	4	1
BSouth	40805	Stock	8	40805.BSouth.08	BSouth.40805.8	10	20.42	1.49	21.91	1	1
BSouth	40805	Stock	8	40805.BSouth.08	BSouth.40805.8	20	20.61	2.04	22.65	2	1
BSouth	40805	Stock	8	40805.BSouth.08	BSouth.40805.8	30	20.78	2.4	23.18	3	1
BSouth	40805	Stock	8	40805.BSouth.08	BSouth.40805.8	40	20.78	2.61	23.39	4	1
BSouth	40805	Stock	9	40805.BSouth.09	BSouth.40805.9	10	7.88	4.97	12.85	1	1
BSouth	40805	Stock	9	40805.BSouth.09	BSouth.40805.9	20	9.15	6.07	15.22	2	1
BSouth	40805	Stock	9	40805.BSouth.09	BSouth.40805.9	30	9.63	6.63	16.26	3	1
BSouth	40805	Stock	9	40805.BSouth.09	BSouth.40805.9	40	9.78	6.9	16.68	4	1
BSouth	40805	Stock	10	40805.BSouth.10	BSouth.40805.10	10	0.63	1.67	2.3	1	1
BSouth	40805	Stock	10	40805.BSouth.10	BSouth.40805.10	20	0.63	1.82	2.45	2	1
BSouth	40805	Stock	10	40805.BSouth.10	BSouth.40805.10	30	0.66	2.01	2.67	3	1
BSouth	40805	Stock	10	40805.BSouth.10	BSouth.40805.10	40	0.66	2.09	2.75	4	1
BSouth	40805	Stock	11	40805.BSouth.11	BSouth.40805.11	10	1.54	0.66	2.2	1	1
BSouth	40805	Stock	11	40805.BSouth.11	BSouth.40805.11	20	1.92	0.84	2.76	2	1
